"persid","cluster_id","household_id","participant_id","age","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"y18h3090232p01",30,90232,4854,35,"male",18,20405,"Leisure",124.78,124.78,"car",0.25,7.17,"weekday",2,"20 to 39","6-10km","car",7.17,0.25,1.75,1.75
"y18h3090232p02",30,90232,4855,30,"female",18,20406,"Leisure",120.83,120.83,"car",0.25,7.15,"weekday",1,"20 to 39","6-10km","car",7.15,0.25,1.75,1.75
"y18h3090232p02",30,90232,4855,30,"female",18,20407,"Leisure",120.83,120.83,"car",0.25,7.17,"weekday",2,"20 to 39","6-10km","car",7.17,0.25,1.75,1.75
"y18h3090240p01",30,90240,4856,55,"female",18,20408,"Other",96.69,96.69,"walking",0.25,0.79,"weekday",1,"40 to 64","<1km","walking",0.79,0.25,1.75,1.75
"y18h3090240p01",30,90240,4856,55,"female",18,20409,"Other",96.69,96.69,"walking",0.25,0.79,"weekday",2,"40 to 64","<1km","walking",0.79,0.25,1.75,1.75
"y18h3090242p01",30,90242,4857,53,"male",18,20410,"Other",260.51,260.51,"car",0.166666666666667,3.33,"weekend day",1,"40 to 64","3-5km","car",3.33,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090242p01",30,90242,4857,53,"male",18,20411,"Leisure",260.51,260.51,"car",0.0833333333333333,0.77,"weekend day",2,"40 to 64","<1km","car",0.77,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090242p01",30,90242,4857,53,"male",18,20412,"Other",260.51,260.51,"car",0.0833333333333333,1.08,"weekend day",3,"40 to 64","1-2km","car",1.08,0.0833333333333333,0.583333333333333,0.583333333333333
"y18h3090242p01",30,90242,4857,53,"male",18,20413,"Shopping",260.51,260.51,"car",0.166666666666667,2.26,"weekend day",4,"40 to 64","3-5km","car",2.26,0.166666666666667,1.16666666666667,1.16666666666667
"y18h3090242p01",30,90242,4857,53,"male",18,20414,"Shopping",260.51,260.51,"car",0.0833333333333333,1.57,"weekend day",5,"40 to 64","1-2km","car",1.57,0.0833333333333333,0.583333333333333,0.583333333333333
