"year","sex","brsc","utrc","tbalc","carc","kdnc","bldc","lvrc","mltm","chml","espc","stmc","hanc","rctc","ishd","strk","dmt2","adaod","prkd","dprd"
17,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
18,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
19,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
2,"female",0.975891412222726,1.00640063705306,1.00887415393828,0.980395786439847,0.974908886348451,0.981967573091237,1.04730938908677,0.992605295542007,0.881591254996021,0.984304232484552,0.940656944873024,0.952395137133719,1.09057173418347,0.908980651397608,0.908980651397608,1,1.00095858286395,0.990198944852424,1
20,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
21,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
22,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
23,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
24,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
25,"female",0.874396135265701,1.03571428571429,1.04979253112033,0.896825396825397,0.869565217391304,0.904761904761905,1.28947368421053,0.96,0.5,0.916666666666667,0.714285714285714,0.764705882352941,1.13888888888889,0.787746708620987,0.787746708620987,1,1.00143821882131,0.985334499095229,1
